Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.18.fc2, Linear: time=0.000018s, act=0.0625GB, throughput=3404.467532GB/s
decoder.layers.10.self_attn.v_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1024.000000GB/s
decoder.layers.15.self_attn.k_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1024.000000GB/s
decoder.layers.5.self_attn.v_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1008.246154GB/s
decoder.layers.10.self_attn.k_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1008.246154GB/s
decoder.layers.16.self_attn.k_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1008.246154GB/s
decoder.layers.21.self_attn.k_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1008.246154GB/s
decoder.layers.12.self_attn.k_proj, Linear: time=0.000016s, act=0.0156GB, throughput=978.149254GB/s
decoder.layers.9.self_attn.k_proj, Linear: time=0.000016s, act=0.0156GB, throughput=963.764706GB/s
decoder.layers.11.self_attn.k_proj, Linear: time=0.000016s, act=0.0156GB, throughput=963.764706GB/s
decoder.layers.13.self_attn.k_proj, Linear: time=0.000016s, act=0.0156GB, throughput=949.797101GB/s
decoder.layers.7.self_attn.v_proj, Linear: time=0.000017s, act=0.0156GB, throughput=923.042254GB/s
decoder.layers.2.self_attn.v_proj, Linear: time=0.000018s, act=0.0156GB, throughput=873.813333GB/s
decoder.layers.0.fc2, Linear: time=0.000072s, act=0.0625GB, throughput=862.315789GB/s
decoder.layers.8.self_attn.v_proj, Linear: time=0.000018s, act=0.0156GB, throughput=862.315789GB/s
decoder.layers.14.self_attn.k_proj, Linear: time=0.000018s, act=0.0156GB, throughput=862.315789GB/s
decoder.layers.13.self_attn.q_proj, Linear: time=0.000019s, act=0.0156GB, throughput=840.205128GB/s
decoder.layers.19.self_attn.q_proj, Linear: time=0.000019s, act=0.0156GB, throughput=840.205128GB/s
decoder.layers.4.self_attn.v_proj, Linear: time=0.000019s, act=0.0156GB, throughput=829.569620GB/s
decoder.layers.6.self_attn.k_proj, Linear: time=0.000019s, act=0.0156GB, throughput=829.569620GB/s
decoder.layers.3.self_attn.v_proj, Linear: time=0.000019s, act=0.0156GB, throughput=819.200000GB/s
decoder.layers.11.self_attn.q_proj, Linear: time=0.000019s, act=0.0156GB, throughput=819.200000GB/s
decoder.layers.9.self_attn.q_proj, Linear: time=0.000019s, act=0.0156GB, throughput=809.086420GB/s
decoder.layers.12.self_attn.q_proj, Linear: time=0.000020s, act=0.0156GB, throughput=799.219512GB/s
decoder.layers.10.self_attn.q_proj, Linear: time=0.000020s, act=0.0156GB, throughput=789.590361GB/s
decoder.layers.16.self_attn.q_proj, Linear: time=0.000020s, act=0.0156GB, throughput=789.590361GB/s
decoder.layers.13.self_attn.out_proj, Linear: time=0.000060s, act=0.0471GB, throughput=781.154397GB/s
decoder.layers.1.self_attn.v_proj, Linear: time=0.000020s, act=0.0156GB, throughput=771.011765GB/s
decoder.layers.7.self_attn.k_proj, Linear: time=0.000021s, act=0.0156GB, throughput=762.046512GB/s
decoder.layers.8.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=762.046512GB/s
decoder.layers.18.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=762.046512GB/s
decoder.layers.13.self_attn.v_proj, Linear: time=0.000021s, act=0.0156GB, throughput=753.287356GB/s
decoder.layers.5.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=744.727273GB/s
decoder.layers.6.self_attn.v_proj, Linear: time=0.000021s, act=0.0156GB, throughput=744.727273GB/s
decoder.layers.15.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=744.727273GB/s
decoder.layers.7.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=736.359551GB/s
decoder.layers.14.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=736.359551GB/s
decoder.layers.21.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=736.359551GB/s
decoder.layers.20.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=728.177778GB/s
decoder.layers.10.self_attn.out_proj, Linear: time=0.000065s, act=0.0471GB, throughput=723.926969GB/s
decoder.layers.3.self_attn.k_proj, Linear: time=0.000022s, act=0.0156GB, throughput=720.175824GB/s
decoder.layers.5.self_attn.k_proj, Linear: time=0.000022s, act=0.0156GB, throughput=720.175824GB/s
decoder.layers.17.self_attn.q_proj, Linear: time=0.000022s, act=0.0156GB, throughput=720.175824GB/s
decoder.layers.22.self_attn.q_proj, Linear: time=0.000022s, act=0.0156GB, throughput=712.347826GB/s
decoder.layers.2.self_attn.k_proj, Linear: time=0.000022s, act=0.0156GB, throughput=704.688172GB/s
decoder.layers.8.self_attn.k_proj, Linear: time=0.000022s, act=0.0156GB, throughput=697.191489GB/s
decoder.layers.6.self_attn.out_proj, Linear: time=0.000068s, act=0.0471GB, throughput=695.887544GB/s
decoder.layers.4.self_attn.k_proj, Linear: time=0.000023s, act=0.0156GB, throughput=682.666667GB/s
decoder.layers.14.self_attn.out_proj, Linear: time=0.000070s, act=0.0471GB, throughput=674.512159GB/s
decoder.layers.12.self_attn.out_proj, Linear: time=0.000070s, act=0.0471GB, throughput=672.217900GB/s
decoder.layers.18.self_attn.out_proj, Linear: time=0.000070s, act=0.0471GB, throughput=669.939195GB/s
decoder.layers.8.self_attn.out_proj, Linear: time=0.000071s, act=0.0471GB, throughput=665.427820GB/s
decoder.layers.16.self_attn.out_proj, Linear: time=0.000071s, act=0.0471GB, throughput=665.427820GB/s
decoder.layers.23.self_attn.q_proj, Linear: time=0.000024s, act=0.0156GB, throughput=655.360000GB/s
decoder.layers.4.self_attn.out_proj, Linear: time=0.000073s, act=0.0471GB, throughput=641.662541GB/s
decoder.layers.2.self_attn.q_proj, Linear: time=0.000025s, act=0.0156GB, throughput=636.271845GB/s
decoder.layers.7.activation_fn, ReLU: time=0.000050s, act=0.0312GB, throughput=627.138756GB/s
decoder.layers.6.activation_fn, ReLU: time=0.000050s, act=0.0312GB, throughput=621.194313GB/s
decoder.layers.4.activation_fn, ReLU: time=0.000051s, act=0.0312GB, throughput=618.264151GB/s
decoder.layers.10.activation_fn, ReLU: time=0.000051s, act=0.0312GB, throughput=618.264151GB/s
decoder.layers.1.self_attn.k_proj, Linear: time=0.000026s, act=0.0156GB, throughput=612.485981GB/s
decoder.layers.13.activation_fn, ReLU: time=0.000052s, act=0.0312GB, throughput=604.018433GB/s
decoder.layers.4.self_attn.q_proj, Linear: time=0.000026s, act=0.0156GB, throughput=601.247706GB/s
decoder.layers.8.activation_fn, ReLU: time=0.000052s, act=0.0312GB, throughput=598.502283GB/s
decoder.layers.22.activation_fn, ReLU: time=0.000053s, act=0.0312GB, throughput=590.414414GB/s
decoder.layers.3.self_attn.q_proj, Linear: time=0.000027s, act=0.0156GB, throughput=585.142857GB/s
decoder.layers.18.fc1, Linear: time=0.000067s, act=0.0391GB, throughput=578.939929GB/s
decoder.layers.12.activation_fn, ReLU: time=0.000054s, act=0.0312GB, throughput=574.877193GB/s
decoder.layers.23.activation_fn, ReLU: time=0.000055s, act=0.0312GB, throughput=572.366812GB/s
decoder.layers.3.activation_fn, ReLU: time=0.000055s, act=0.0312GB, throughput=567.411255GB/s
decoder.layers.11.activation_fn, ReLU: time=0.000055s, act=0.0312GB, throughput=567.411255GB/s
decoder.layers.17.activation_fn, ReLU: time=0.000055s, act=0.0312GB, throughput=567.411255GB/s
decoder.layers.19.fc1, Linear: time=0.000069s, act=0.0391GB, throughput=564.965517GB/s
decoder.layers.20.activation_fn, ReLU: time=0.000055s, act=0.0312GB, throughput=564.965517GB/s
decoder.layers.19.activation_fn, ReLU: time=0.000056s, act=0.0312GB, throughput=560.136752GB/s
decoder.layers.3.fc1, Linear: time=0.000070s, act=0.0391GB, throughput=557.278912GB/s
decoder.layers.22.fc1, Linear: time=0.000070s, act=0.0391GB, throughput=555.389831GB/s
decoder.layers.12.fc1, Linear: time=0.000071s, act=0.0391GB, throughput=551.649832GB/s
decoder.layers.21.fc1, Linear: time=0.000071s, act=0.0391GB, throughput=549.798658GB/s
decoder.layers.10.fc1, Linear: time=0.000072s, act=0.0391GB, throughput=544.318937GB/s
decoder.layers.6.fc1, Linear: time=0.000072s, act=0.0391GB, throughput=540.726073GB/s
decoder.layers.14.fc1, Linear: time=0.000072s, act=0.0391GB, throughput=540.726073GB/s
decoder.layers.11.fc1, Linear: time=0.000073s, act=0.0391GB, throughput=537.180328GB/s
decoder.layers.21.activation_fn, ReLU: time=0.000058s, act=0.0312GB, throughput=534.987755GB/s
decoder.layers.17.fc1, Linear: time=0.000074s, act=0.0391GB, throughput=530.226537GB/s
decoder.layers.8.fc1, Linear: time=0.000074s, act=0.0391GB, throughput=528.516129GB/s
decoder.layers.15.activation_fn, ReLU: time=0.000059s, act=0.0312GB, throughput=526.393574GB/s
decoder.layers.16.fc1, Linear: time=0.000074s, act=0.0391GB, throughput=525.128205GB/s
decoder.layers.23.fc1, Linear: time=0.000075s, act=0.0391GB, throughput=523.450479GB/s
decoder.layers.2.activation_fn, ReLU: time=0.000061s, act=0.0312GB, throughput=516.031496GB/s
decoder.layers.22.self_attn.out_proj, Linear: time=0.000091s, act=0.0471GB, throughput=516.010607GB/s
decoder.layers.15.fc1, Linear: time=0.000076s, act=0.0391GB, throughput=515.220126GB/s
decoder.layers.16.activation_fn, ReLU: time=0.000061s, act=0.0312GB, throughput=512.000000GB/s
decoder.layers.4.fc1, Linear: time=0.000077s, act=0.0391GB, throughput=510.404984GB/s
decoder.layers.5.activation_fn, ReLU: time=0.000062s, act=0.0312GB, throughput=508.031008GB/s
decoder.layers.1.fc1, Linear: time=0.000077s, act=0.0391GB, throughput=504.123077GB/s
decoder.layers.2.fc1, Linear: time=0.000077s, act=0.0391GB, throughput=504.123077GB/s
decoder.layers.7.fc1, Linear: time=0.000079s, act=0.0391GB, throughput=496.484848GB/s
decoder.layers.9.activation_fn, ReLU: time=0.000063s, act=0.0312GB, throughput=494.611321GB/s
decoder.layers.20.fc1, Linear: time=0.000080s, act=0.0391GB, throughput=487.619048GB/s
decoder.layers.13.fc1, Linear: time=0.000081s, act=0.0391GB, throughput=484.733728GB/s
decoder.layers.9.fc1, Linear: time=0.000082s, act=0.0391GB, throughput=479.064327GB/s
decoder.layers.0.self_attn.out_proj, Linear: time=0.000099s, act=0.0471GB, throughput=477.372132GB/s
decoder.layers.1.self_attn.q_proj, Linear: time=0.000033s, act=0.0156GB, throughput=471.482014GB/s
decoder.layers.2.self_attn.out_proj, Linear: time=0.000103s, act=0.0471GB, throughput=458.543068GB/s
decoder.layers.14.activation_fn, ReLU: time=0.000068s, act=0.0312GB, throughput=458.293706GB/s
decoder.layers.20.self_attn.out_proj, Linear: time=0.000106s, act=0.0471GB, throughput=446.122037GB/s
decoder.layers.12.self_attn_layer_norm, LayerNorm: time=0.000018s, act=0.0078GB, throughput=438.186667GB/s
decoder.layers.11.self_attn_layer_norm, LayerNorm: time=0.000018s, act=0.0078GB, throughput=426.805195GB/s
decoder.layers.23.final_layer_norm, LayerNorm: time=0.000019s, act=0.0078GB, throughput=410.800000GB/s
decoder.layers.8.final_layer_norm, LayerNorm: time=0.000019s, act=0.0078GB, throughput=405.728395GB/s
decoder.layers.13.self_attn_layer_norm, LayerNorm: time=0.000019s, act=0.0078GB, throughput=405.728395GB/s
decoder.layers.18.activation_fn, ReLU: time=0.000077s, act=0.0312GB, throughput=404.543210GB/s
decoder.layers.18.final_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=400.780488GB/s
decoder.layers.5.fc1, Linear: time=0.000098s, act=0.0391GB, throughput=400.586797GB/s
decoder.layers.17.self_attn_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=395.951807GB/s
decoder.layers.18.self_attn_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=395.951807GB/s
decoder.final_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=395.951807GB/s
decoder.layers.5.final_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=391.238095GB/s
decoder.layers.15.final_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=391.238095GB/s
decoder.layers.19.self_attn_layer_norm, LayerNorm: time=0.000020s, act=0.0078GB, throughput=391.238095GB/s
decoder.layers.10.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=382.139535GB/s
decoder.layers.20.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=382.139535GB/s
decoder.layers.21.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=382.139535GB/s
decoder.layers.5.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=377.747126GB/s
decoder.layers.14.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=377.747126GB/s
decoder.layers.14.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=377.747126GB/s
decoder.layers.23.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=377.747126GB/s
decoder.layers.11.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=373.454545GB/s
decoder.layers.16.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=373.454545GB/s
decoder.layers.17.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=373.454545GB/s
decoder.layers.10.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=369.258427GB/s
decoder.layers.15.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=369.258427GB/s
decoder.layers.22.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=369.258427GB/s
decoder.layers.4.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=365.155556GB/s
decoder.layers.4.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=365.155556GB/s
decoder.layers.20.final_layer_norm, LayerNorm: time=0.000021s, act=0.0078GB, throughput=365.155556GB/s
decoder.layers.6.final_layer_norm, LayerNorm: time=0.000022s, act=0.0078GB, throughput=361.142857GB/s
decoder.layers.6.self_attn_layer_norm, LayerNorm: time=0.000022s, act=0.0078GB, throughput=357.217391GB/s
decoder.layers.9.final_layer_norm, LayerNorm: time=0.000022s, act=0.0078GB, throughput=357.217391GB/s
decoder.layers.19.final_layer_norm, LayerNorm: time=0.000022s, act=0.0078GB, throughput=357.217391GB/s
decoder.layers.22.final_layer_norm, LayerNorm: time=0.000022s, act=0.0078GB, throughput=353.376344GB/s
decoder.layers.2.self_attn_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=345.936842GB/s
decoder.layers.2.final_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=342.333333GB/s
decoder.layers.13.final_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=342.333333GB/s
decoder.layers.3.final_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=338.804124GB/s
decoder.layers.7.self_attn_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=338.804124GB/s
decoder.layers.7.final_layer_norm, LayerNorm: time=0.000023s, act=0.0078GB, throughput=338.804124GB/s
decoder.layers.9.self_attn_layer_norm, LayerNorm: time=0.000024s, act=0.0078GB, throughput=328.640000GB/s
decoder.layers.16.final_layer_norm, LayerNorm: time=0.000024s, act=0.0078GB, throughput=328.640000GB/s
decoder.layers.1.activation_fn, ReLU: time=0.000099s, act=0.0312GB, throughput=315.836145GB/s
decoder.layers.8.self_attn_layer_norm, LayerNorm: time=0.000025s, act=0.0078GB, throughput=312.990476GB/s
decoder.layers.21.final_layer_norm, LayerNorm: time=0.000025s, act=0.0078GB, throughput=312.990476GB/s
decoder.layers.1.final_layer_norm, LayerNorm: time=0.000026s, act=0.0078GB, throughput=301.504587GB/s
decoder.layers.12.final_layer_norm, LayerNorm: time=0.000032s, act=0.0078GB, throughput=241.647059GB/s
decoder.layers.0.self_attn.k_proj, Linear: time=0.000066s, act=0.0156GB, throughput=236.592058GB/s
decoder.layers.1.self_attn_layer_norm, LayerNorm: time=0.000039s, act=0.0078GB, throughput=200.390244GB/s
decoder.layers.3.self_attn_layer_norm, LayerNorm: time=0.000041s, act=0.0078GB, throughput=191.069767GB/s
decoder.layers.0.final_layer_norm, LayerNorm: time=0.000041s, act=0.0078GB, throughput=189.965318GB/s
decoder.layers.6.self_attn.q_proj, Linear: time=0.000093s, act=0.0156GB, throughput=168.907216GB/s
decoder.layers.0.self_attn.v_proj, Linear: time=0.000109s, act=0.0156GB, throughput=143.719298GB/s
decoder.layers.0.fc1, Linear: time=0.002094s, act=0.0391GB, throughput=18.658467GB/s
decoder.layers.0.self_attn_layer_norm, LayerNorm: time=0.000658s, act=0.0078GB, throughput=11.911562GB/s
decoder.layers.0.activation_fn, ReLU: time=0.005390s, act=0.0312GB, throughput=5.797594GB/s
decoder.layers.0.self_attn.q_proj, Linear: time=0.071861s, act=0.0156GB, throughput=0.217433GB/s
decoder.embed_positions, OPTLearnedPositionalEmbedding: time=0.000233s, act=0.0000GB, throughput=0.065574GB/s
decoder.embed_tokens, Embedding: time=0.037971s, act=0.0000GB, throughput=0.000402GB/s
None, None: time=0.000000s, act=0.9667GB, throughput=0.000000GB/s

Outlier modules (IQR method):
decoder.layers.1.self_attn.out_proj: throughput=1606.764736GB/s (upper bound: 1540.046196GB/s)
decoder.layers.1.fc2: throughput=2570.039216GB/s (upper bound: 1540.046196GB/s)
decoder.layers.2.fc2: throughput=2496.609524GB/s (upper bound: 1540.046196GB/s)
decoder.layers.3.self_attn.out_proj: throughput=1606.764736GB/s (upper bound: 1540.046196GB/s)
decoder.layers.3.fc2: throughput=2978.909091GB/s (upper bound: 1540.046196GB/s)
decoder.layers.4.fc2: throughput=2730.666667GB/s (upper bound: 1540.046196GB/s)
decoder.layers.5.self_attn.out_proj: throughput=1829.926505GB/s (upper bound: 1540.046196GB/s)
decoder.layers.5.fc2: throughput=2978.909091GB/s (upper bound: 1540.046196GB/s)
decoder.layers.6.fc2: throughput=2279.513043GB/s (upper bound: 1540.046196GB/s)
decoder.layers.7.self_attn.out_proj: throughput=1733.614583GB/s (upper bound: 1540.046196GB/s)
decoder.layers.7.fc2: throughput=2880.703297GB/s (upper bound: 1540.046196GB/s)
decoder.layers.8.fc2: throughput=2849.391304GB/s (upper bound: 1540.046196GB/s)
decoder.layers.9.fc2: throughput=2880.703297GB/s (upper bound: 1540.046196GB/s)
decoder.layers.10.fc2: throughput=3048.186047GB/s (upper bound: 1540.046196GB/s)
decoder.layers.11.self_attn.out_proj: throughput=1882.210119GB/s (upper bound: 1540.046196GB/s)
decoder.layers.11.fc2: throughput=3158.361446GB/s (upper bound: 1540.046196GB/s)
decoder.layers.12.fc2: throughput=3120.761905GB/s (upper bound: 1540.046196GB/s)
decoder.layers.13.fc2: throughput=3013.149425GB/s (upper bound: 1540.046196GB/s)
decoder.layers.14.fc2: throughput=3236.345679GB/s (upper bound: 1540.046196GB/s)
decoder.layers.15.self_attn.out_proj: throughput=2325.083088GB/s (upper bound: 1540.046196GB/s)
decoder.layers.15.fc2: throughput=3276.800000GB/s (upper bound: 1540.046196GB/s)
decoder.layers.16.fc2: throughput=3196.878049GB/s (upper bound: 1540.046196GB/s)
decoder.layers.17.self_attn.out_proj: throughput=1976.320625GB/s (upper bound: 1540.046196GB/s)
decoder.layers.17.fc2: throughput=2849.391304GB/s (upper bound: 1540.046196GB/s)
decoder.layers.18.fc2: throughput=3404.467532GB/s (upper bound: 1540.046196GB/s)
decoder.layers.19.self_attn.out_proj: throughput=1937.569240GB/s (upper bound: 1540.046196GB/s)
decoder.layers.19.fc2: throughput=3404.467532GB/s (upper bound: 1540.046196GB/s)
decoder.layers.20.fc2: throughput=2945.438202GB/s (upper bound: 1540.046196GB/s)
decoder.layers.21.self_attn.out_proj: throughput=2125.075941GB/s (upper bound: 1540.046196GB/s)
decoder.layers.21.fc2: throughput=3404.467532GB/s (upper bound: 1540.046196GB/s)
decoder.layers.22.fc2: throughput=2978.909091GB/s (upper bound: 1540.046196GB/s)
decoder.layers.23.self_attn.out_proj: throughput=2271.632902GB/s (upper bound: 1540.046196GB/s)
decoder.layers.23.fc2: throughput=3196.878049GB/s (upper bound: 1540.046196GB/s)

Outlier count: 33 / 219 layers (15.07%)
